mature_acc	terms
MIMAT0000062-0	hsa-let-7a-5p;hsa-let-7a
MIMAT0000062-1	hsa-let-7a-1;hsa-let-7a-1l;hsa-let-7a-2;hsa-let-7a-2l;hsa-let-7a-3;hsa-let-7a-3l
MIMAT0000063-0	hsa-let-7b-5p;hsa-let-7b
MIMAT0000063-1	hsa-let-7b;hsa-let-7bl
MIMAT0000064-0	hsa-let-7c-5p
MIMAT0000064-1	hsa-let-7c;hsa-let-7cl
MIMAT0000065-0	hsa-let-7d-5p;hsa-let-7d
MIMAT0000065-1	hsa-let-7d;hsa-let-7dl
MIMAT0000066-0	hsa-let-7e-5p;hsa-let-7e
MIMAT0000066-1	hsa-let-7e;hsa-let-7el
MIMAT0000067-0	hsa-let-7f-5p;hsa-let-7f
MIMAT0000067-1	hsa-let-7f-1;hsa-let-7f-1l;hsa-let-7f-2;hsa-let-7f-2l
MIMAT0000068-0	hsa-mir-15a-5p;hsa-mir-15a
MIMAT0000068-1	hsa-mir-15a;hsa-mir-15
MIMAT0000069-0	hsa-mir-16-5p;hsa-mir-16
MIMAT0000069-1	hsa-mir-16-1;hsa-mir-16-13;hsa-mir-16;hsa-mir-16-2;hsa-mir-16-3
MIMAT0000070-0	hsa-mir-17-5p;hsa-mir-17-5p;hsa-mir-17
MIMAT0000070-1	hsa-mir-17
MIMAT0000071-0	hsa-mir-17-3p;hsa-mir-17-3p;hsa-mir-17*
MIMAT0000071-2	hsa-mir-17
MIMAT0000072-0	hsa-mir-18a-5p;hsa-mir-18;hsa-mir-18a
MIMAT0000072-1	hsa-mir-18a;hsa-mir-18
MIMAT0000073-0	hsa-mir-19a-3p;hsa-mir-19a
MIMAT0000073-1	hsa-mir-19a
MIMAT0000074-0	hsa-mir-19b-3p;hsa-mir-19b
MIMAT0000074-1	hsa-mir-19b-1;hsa-mir-19b-2
MIMAT0000075-0	hsa-mir-20a-5p;hsa-mir-20;hsa-mir-20a
MIMAT0000075-1	hsa-mir-20a;hsa-mir-20
MIMAT0000076-0	hsa-mir-21-5p;hsa-mir-21
MIMAT0000076-1	hsa-mir-21
MIMAT0000077-0	hsa-mir-22-3p;hsa-mir-22
MIMAT0000077-2	hsa-mir-22
MIMAT0000078-0	hsa-mir-23a-3p;hsa-mir-23a
MIMAT0000078-1	hsa-mir-23a;hsa-mir-23
MIMAT0000079-0	hsa-mir-24-1-5p;hsa-mir-189;hsa-mir-24-1*
MIMAT0000079-2	hsa-mir-24-1
MIMAT0000080-0	hsa-mir-24-3p;hsa-mir-24
MIMAT0000080-1	hsa-mir-24-1;hsa-mir-24-2
MIMAT0000081-0	hsa-mir-25-3p;hsa-mir-25
MIMAT0000081-2	hsa-mir-25
MIMAT0000082-0	hsa-mir-26a-5p;hsa-mir-26a
MIMAT0000082-1	hsa-mir-26a-1;hsa-mir-26a;hsa-mir-26a-2
MIMAT0000083-0	hsa-mir-26b-5p;hsa-mir-26b
MIMAT0000083-1	hsa-mir-26b
MIMAT0000084-0	hsa-mir-27a-3p;hsa-mir-27a
MIMAT0000084-2	hsa-mir-27a;hsa-mir-27
MIMAT0000085-0	hsa-mir-28-5p;hsa-mir-28
MIMAT0000085-2	hsa-mir-28
MIMAT0000086-0	hsa-mir-29a-3p;hsa-mir-29a
MIMAT0000086-1	hsa-mir-29a;hsa-mir-29
MIMAT0000087-0	hsa-mir-30a-5p;hsa-mir-30a-5p;hsa-mir-30a
MIMAT0000087-1	hsa-mir-30a;hsa-mir-30
MIMAT0000088-0	hsa-mir-30a-3p;hsa-mir-30a-3p;hsa-mir-30a*
MIMAT0000088-2	hsa-mir-30a;hsa-mir-30
MIMAT0000089-0	hsa-mir-31-5p;hsa-mir-31
MIMAT0000089-1	hsa-mir-31
MIMAT0000090-0	hsa-mir-32-5p;hsa-mir-32
MIMAT0000090-1	hsa-mir-32
MIMAT0000091-0	hsa-mir-33a-5p;hsa-mir-33;hsa-mir-33a
MIMAT0000091-1	hsa-mir-33a;hsa-mir-33
MIMAT0000092-0	hsa-mir-92a-3p;hsa-mir-92;hsa-mir-92a
MIMAT0000092-1	hsa-mir-92a-1;hsa-mir-92-13;hsa-mir-92-1;hsa-mir-92a-2;hsa-mir-92-x;hsa-mir-92-2
MIMAT0000093-0	hsa-mir-93-5p;hsa-mir-93
MIMAT0000093-1	hsa-mir-93;hsa-mir-93-7.1;hsa-mir-93-1
MIMAT0000094-0	hsa-mir-95-3p
MIMAT0000094-1	hsa-mir-95;hsa-mir-95-4
MIMAT0000095-0	hsa-mir-96-5p;hsa-mir-96
MIMAT0000095-1	hsa-mir-96;hsa-mir-96-7
MIMAT0000096-0	hsa-mir-98-5p;hsa-mir-98
MIMAT0000096-1	hsa-mir-98;hsa-mir-98-x
MIMAT0000097-0	hsa-mir-99a-5p;hsa-mir-99a
MIMAT0000097-1	hsa-mir-99a;hsa-mir-99-21;hsa-mir-99
MIMAT0000098-0	hsa-mir-100-5p;hsa-mir-100
MIMAT0000098-1	hsa-mir-100;hsa-mir-100-11
